crn,catalog_id,section,credits,title,meetings,primary_instructor
75222,AC 0011,C01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DSB 112'}]",Rebecca I.  Bloch
75240,AC 0011,C02,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'DSB 112'}]",Rebecca I.  Bloch
75241,AC 0011,C03,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DSB 115'}]",Michael P.  Coyne
75243,AC 0011,C04,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",Michael P.  Coyne
75244,AC 0011,C05,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",Michael P.  Coyne
75242,AC 0011,F,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",Paul   Caster
75461,AC 0011,G,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",Jo Ann   Drusbosky
75484,AC 0011,I,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",Jo Ann   Drusbosky
75729,AC 0011,J,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'DSB 105'}]",Arleen N.  Kardos
76101,AC 0011,K,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'DSB 105'}]",Arleen N.  Kardos
76102,AC 0011,L,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'DSB 110B'}]",Scott M  Brenner
76689,AC 0011,M,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '09/01-12/07', 'location': 'DSB 110B'}]",Scott M  Brenner
76690,AC 0011,N,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",Jo Ann   Drusbosky
76694,AC 0011,R,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0500pm-0615pm', 'dates': '09/01-12/07', 'location': 'DSB 111'}]",Jo Ann   Drusbosky
75189,AC 0012,A,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DSB 109'}]",Joan L.  Lee
76696,AC 0012,B,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/01-12/07', 'location': 'DSB 115'}]",Patricia M.  Poli
75051,AC 0203,A,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'DSB 110B'}]",Milo W.  Peck
75052,AC 0203,B,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'DSB 110B'}]",Milo W.  Peck
76463,AC 0203,C,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DSB 110B'}]",Milo W.  Peck
76464,AC 0203,D,3.000,Intermediate Accounting I,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'DSB 110A'}]",Rebecca I.  Bloch
75316,AC 0204,A,3.000,Intermediate Accounting II,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'DSB 105'}]",Stephen E.  Yost
76698,AC 0310,B,3.000,Advanced Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/01-12/07', 'location': 'DSB 115'}]",Patricia M.  Poli
75558,AC 0320,A,3.000,Cost Management,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '09/01-12/07', 'location': 'DSB 104'}]",Ahmed M.  Ebrahim
75196,AC 0320,B,3.000,Cost Management,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/01-12/07', 'location': 'DSB 104'}]",Ahmed M.  Ebrahim
77029,AC 0320,C,3.000,Cost Management,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/01-12/07', 'location': 'DSB 104'}]",Ahmed M.  Ebrahim
75181,AC 0330,A,3.000,Auditing,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '09/01-12/07', 'location': 'DSB 106'}]",Paul   Caster
75789,AC 0330,B,3.000,Auditing,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/01-12/07', 'location': 'DSB 106'}]",Paul   Caster
