term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Fall2018,74177,AC 0011,01C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/04-12/10', 'location': 'DSB 112'}]",['MR 0330pm-0445pm 09/04-12/10 DSB 112'],Michael P.  Coyne,0,28,-28
Fall2018,74194,AC 0011,02C,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/04-12/10', 'location': 'DSB 105'}]",['TF 0200pm-0315pm 09/04-12/10 DSB 105'],Jo Ann   Drusbosky,0,32,-32
Fall2018,74195,AC 0011,03C,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/04-12/10', 'location': 'DSB 105'}]",['TF 0330pm-0445pm 09/04-12/10 DSB 105'],Jo Ann   Drusbosky,0,32,-32
Fall2018,74196,AC 0011,04C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '09/04-12/10', 'location': 'DSB 110B'}]",['MR 0800am-0915am 09/04-12/10 DSB 110B'],Kara E.  Hunter,0,29,-29
Fall2018,74197,AC 0011,05C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/04-12/10', 'location': 'DSB 110B'}]",['MR 0930am-1045am 09/04-12/10 DSB 110B'],Kara E.  Hunter,0,29,-29
Fall2018,74349,AC 0011,06C,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/04-12/10', 'location': 'DSB 115'}]",['MR 1230pm-0145pm 09/04-12/10 DSB 115'],Rebecca I.  Bloch,0,32,-32
Fall2018,74359,AC 0011,07,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/04-12/10', 'location': 'DSB 112'}]",['MW 0500pm-0615pm 09/04-12/10 DSB 112'],Scott M  Brenner,31,29,2
Fall2018,74543,AC 0011,08,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/04-12/10', 'location': 'DSB 112'}]",['TF 0800am-0915am 09/04-12/10 DSB 112'],Scott M  Brenner,31,30,1
Fall2018,74749,AC 0011,09,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/04-12/10', 'location': 'DSB 112'}]",['TF 0930am-1045am 09/04-12/10 DSB 112'],Scott M  Brenner,31,30,1
Fall2018,74750,AC 0011,10,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/04-12/10', 'location': 'DSB 110A'}]",['MR 0930am-1045am 09/04-12/10 DSB 110A'],Ahmed M.  Ebrahim,31,31,0
Fall2018,74929,AC 0011,11,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/04-12/10', 'location': 'DSB 110A'}]",['MR 1100am-1215pm 09/04-12/10 DSB 110A'],Ahmed M.  Ebrahim,31,33,-2
Fall2018,74930,AC 0011,12,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/04-12/10', 'location': 'DSB 110A'}]",['MR 1230pm-0145pm 09/04-12/10 DSB 110A'],Lisa Suzanne  Haylon,31,33,-2
