crn,catalog_id,section,credits,title,meetings,primary_instructor
37502,AC 0011,A,3.000,Intro to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 109'}]",Dawn W  Massey
38344,AC 0011,B,3.000,Intro to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'DSB 109'}]",Dawn W  Massey
37107,AC 0012,A,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'DSB 115'}]",Bruce   Bradford
37200,AC 0012,B,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 115'}]",Bruce   Bradford
37218,AC 0012,C,3.000,Introduction to Management Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/19-05/03', 'location': 'DSB 112'}]",Bruce   Bradford
37219,AC 0012,D,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/19-05/03', 'location': 'DSB 104'}]",Michael P.  Coyne
37220,AC 0012,E,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'DSB 104'}]",Michael P.  Coyne
37221,AC 0012,F,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",Michael P.  Coyne
37328,AC 0012,G,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",Michael P.  Coyne
37503,AC 0012,H,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'DSB 110B'}]",Jo Ann   Drusbosky
37504,AC 0012,I,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'DSB 110B'}]",Jo Ann   Drusbosky
37815,AC 0012,J,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0500pm-0615pm', 'dates': '01/19-05/03', 'location': 'DSB 110B'}]",Jo Ann   Drusbosky
37923,AC 0012,K,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 104'}]",Arleen N.  Kardos
37924,AC 0012,L,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'DSB 104'}]",Arleen N.  Kardos
37925,AC 0012,M,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",Joan L.  Lee
38229,AC 0012,N,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",Joan L.  Lee
