crn,location,day,start,end
31425,DSB 106,T,2017-01-17T11:00:00,2017-01-17T12:15:00
31425,DSB 106,F,2017-01-20T11:00:00,2017-01-20T12:15:00
31425,DSB 106,T,2017-01-24T11:00:00,2017-01-24T12:15:00
31425,DSB 106,F,2017-01-27T11:00:00,2017-01-27T12:15:00
31425,DSB 106,T,2017-01-31T11:00:00,2017-01-31T12:15:00
31425,DSB 106,F,2017-02-03T11:00:00,2017-02-03T12:15:00
31425,DSB 106,T,2017-02-07T11:00:00,2017-02-07T12:15:00
31425,DSB 106,F,2017-02-10T11:00:00,2017-02-10T12:15:00
31425,DSB 106,T,2017-02-14T11:00:00,2017-02-14T12:15:00
31425,DSB 106,F,2017-02-17T11:00:00,2017-02-17T12:15:00
31425,DSB 106,F,2017-02-24T11:00:00,2017-02-24T12:15:00
31425,DSB 106,T,2017-02-28T11:00:00,2017-02-28T12:15:00
31425,DSB 106,F,2017-03-03T11:00:00,2017-03-03T12:15:00
31425,DSB 106,T,2017-03-07T11:00:00,2017-03-07T12:15:00
31425,DSB 106,F,2017-03-10T11:00:00,2017-03-10T12:15:00
31425,DSB 106,T,2017-03-21T11:00:00,2017-03-21T12:15:00
31425,DSB 106,F,2017-03-24T11:00:00,2017-03-24T12:15:00
31425,DSB 106,T,2017-03-28T11:00:00,2017-03-28T12:15:00
31425,DSB 106,F,2017-03-31T11:00:00,2017-03-31T12:15:00
31425,DSB 106,T,2017-04-04T11:00:00,2017-04-04T12:15:00
31425,DSB 106,F,2017-04-07T11:00:00,2017-04-07T12:15:00
31425,DSB 106,T,2017-04-11T11:00:00,2017-04-11T12:15:00
31425,DSB 106,T,2017-04-18T11:00:00,2017-04-18T12:15:00
31425,DSB 106,F,2017-04-21T11:00:00,2017-04-21T12:15:00
31425,DSB 106,T,2017-04-25T11:00:00,2017-04-25T12:15:00
31425,DSB 106,F,2017-04-28T11:00:00,2017-04-28T12:15:00
31425,DSB 106,T,2017-05-02T11:00:00,2017-05-02T12:15:00
31954,DSB 106,T,2017-01-17T12:30:00,2017-01-17T13:45:00
31954,DSB 106,F,2017-01-20T12:30:00,2017-01-20T13:45:00
31954,DSB 106,T,2017-01-24T12:30:00,2017-01-24T13:45:00
31954,DSB 106,F,2017-01-27T12:30:00,2017-01-27T13:45:00
31954,DSB 106,T,2017-01-31T12:30:00,2017-01-31T13:45:00
31954,DSB 106,F,2017-02-03T12:30:00,2017-02-03T13:45:00
31954,DSB 106,T,2017-02-07T12:30:00,2017-02-07T13:45:00
31954,DSB 106,F,2017-02-10T12:30:00,2017-02-10T13:45:00
31954,DSB 106,T,2017-02-14T12:30:00,2017-02-14T13:45:00
31954,DSB 106,F,2017-02-17T12:30:00,2017-02-17T13:45:00
31954,DSB 106,F,2017-02-24T12:30:00,2017-02-24T13:45:00
31954,DSB 106,T,2017-02-28T12:30:00,2017-02-28T13:45:00
31954,DSB 106,F,2017-03-03T12:30:00,2017-03-03T13:45:00
31954,DSB 106,T,2017-03-07T12:30:00,2017-03-07T13:45:00
31954,DSB 106,F,2017-03-10T12:30:00,2017-03-10T13:45:00
31954,DSB 106,T,2017-03-21T12:30:00,2017-03-21T13:45:00
31954,DSB 106,F,2017-03-24T12:30:00,2017-03-24T13:45:00
31954,DSB 106,T,2017-03-28T12:30:00,2017-03-28T13:45:00
31954,DSB 106,F,2017-03-31T12:30:00,2017-03-31T13:45:00
31954,DSB 106,T,2017-04-04T12:30:00,2017-04-04T13:45:00
31954,DSB 106,F,2017-04-07T12:30:00,2017-04-07T13:45:00
31954,DSB 106,T,2017-04-11T12:30:00,2017-04-11T13:45:00
31954,DSB 106,T,2017-04-18T12:30:00,2017-04-18T13:45:00
31954,DSB 106,F,2017-04-21T12:30:00,2017-04-21T13:45:00
31954,DSB 106,T,2017-04-25T12:30:00,2017-04-25T13:45:00
31954,DSB 106,F,2017-04-28T12:30:00,2017-04-28T13:45:00
31954,DSB 106,T,2017-05-02T12:30:00,2017-05-02T13:45:00
