term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2019,37364,AC 0011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/22-04/30', 'location': 'DSB 109'}]",['MR 0930am-1045am 01/22-04/30 DSB 109'],Ahmed M.  Ebrahim,26,27,-1
Spring2019,37723,AC 0011,02,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/22-04/30', 'location': 'DSB 109'}]",['MR 1100am-1215pm 01/22-04/30 DSB 109'],Ahmed M.  Ebrahim,26,27,-1
Spring2019,37079,AC 0012,01,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/22-04/30', 'location': 'DSB 115'}]",['MR 1100am-1215pm 01/22-04/30 DSB 115'],Rebecca I.  Bloch,32,32,0
Spring2019,37155,AC 0012,02,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/22-04/30', 'location': 'DSB 115'}]",['MR 1230pm-0145pm 01/22-04/30 DSB 115'],Rebecca I.  Bloch,32,29,3
Spring2019,37171,AC 0012,03,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/22-04/30', 'location': 'DSB 112'}]",['TF 1100am-1215pm 01/22-04/30 DSB 112'],Bruce   Bradford,32,31,1
Spring2019,37174,AC 0012,06,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/22-04/30', 'location': 'DSB 111'}]",['TF 1100am-1215pm 01/22-04/30 DSB 111'],Michael P.  Coyne,32,32,0
Spring2019,37256,AC 0012,07,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/22-04/30', 'location': 'DSB 111'}]",['TF 1230pm-0145pm 01/22-04/30 DSB 111'],Michael P.  Coyne,32,32,0
Spring2019,37365,AC 0012,08,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/22-04/30', 'location': 'DSB 111'}]",['TF 0800am-0915am 01/22-04/30 DSB 111'],Jo Ann   Drusbosky,32,32,0
Spring2019,37366,AC 0012,09,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/22-04/30', 'location': 'DSB 110B'}]",['TF 1100am-1215pm 01/22-04/30 DSB 110B'],Jo Ann   Drusbosky,32,32,0
Spring2019,37510,AC 0012,10,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/22-04/30', 'location': 'DSB 105'}]",['TF 1230pm-0145pm 01/22-04/30 DSB 105'],Jo Ann   Drusbosky,32,32,0
