crn,catalog_id,section,credits,title,meetings,primary_instructor
55230,AC 0203,A,3.000,Intermediate Accounting I,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '05/18-06/24', 'location': 'DSB 106'}, {'days': 'TR', 'times': '0600pm-0930pm', 'dates': '05/26-05/28', 'location': 'DSB 106'}]",Scott M  Brenner
55231,AC 0204,A,3.000,Intermediate Accounting II,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '07/15-08/19', 'location': 'DSB 108'}]",Scott M  Brenner
55351,AC 0391,A,3.000,Internship,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/18-08/30', 'location': 'BY ARR '}]",Sarah Jennie  Bollinger
55264,AC 0510,01,3.000,Issues in a Regulatory Reporting Environment,"[{'days': 'W', 'times': '0615pm-0945pm', 'dates': '05/20-07/01', 'location': 'DSB 105'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '05/20-07/01', 'location': 'DSB 2109A'}]",Stephen E.  Yost
55265,AC 0510,02,3.000,Issues in a Regulatory Reporting Environment,"[{'days': 'W', 'times': '0615pm-0945pm', 'dates': '05/20-07/01', 'location': 'DSB 105'}, {'days': 'S', 'times': '0130pm-0500pm', 'dates': '05/20-07/01', 'location': 'DSB 115'}]",Stephen E.  Yost
55215,AC 0530,01,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'TF', 'times': '0900am-1215pm', 'dates': '05/18-07/02', 'location': 'DSB 115'}]",Milo W.  Peck
55216,AC 0530,02,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'TF', 'times': '0145pm-0500pm', 'dates': '05/18-07/02', 'location': 'DSB 115'}]",Milo W.  Peck
55217,AC 0580,01,3.000,Financial Statement Analysis,"[{'days': 'MR', 'times': '0900am-1215pm', 'dates': '05/18-07/02', 'location': 'DSB 115'}]",Scott R.  Colvin
55218,AC 0580,02,3.000,Financial Statement Analysis,"[{'days': 'MR', 'times': '0145pm-0500pm', 'dates': '05/18-07/02', 'location': 'DSB 115'}]",Scott R.  Colvin
55405,AS 0404,EH,3.000,American Studies Graduate Project,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/18-08/30', 'location': 'BY ARR '}]",Elizabeth   Hohl
55340,AS 0404,SH,3.000,American Studies Graduate Project,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/18-08/30', 'location': 'BY ARR '}]",Sonya R.  Huber
55261,ASAH 0444,01,3.000,American Visual Art History,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '06/22-06/26', 'location': 'CNS 5'}]",Philip I.  Eliasoph
55262,ASHI 0442,01,3.000,"Immigration, Ethnicity, and Race in United States History","[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '07/07-07/31', 'location': 'DMH 348'}, {'days': 'S', 'times': '1000am-0300pm', 'dates': '07/07-07/31', 'location': 'DMH 348'}]",Cecelia F.  Bucki
