term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Summer2016,56372,AC 0011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MWF', 'times': '1000am-1230pm', 'dates': '05/25-06/29', 'location': 'DSB 115'}]",['MWF 1000am-1230pm 05/25-06/29 DSB 115'],Dawn W  Massey,24,5,19
Summer2016,56193,AC 0203,01,3.000,Intermediate Accounting I,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '05/23-06/29', 'location': 'DSB 112'}, {'days': 'R', 'times': '0600pm-0930pm', 'dates': '06/02-06/02', 'location': 'DSB 112'}]","['MW 0600pm-0930pm 05/23-06/29 DSB 112', 'R 0600pm-0930pm 06/02-06/02 DSB 112']",Scott M  Brenner,25,10,15
Summer2016,56194,AC 0204,01,3.000,Intermediate Accounting II,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '07/18-08/17', 'location': 'DSB 106'}, {'days': 'R', 'times': '0600pm-0930pm', 'dates': '08/11-08/11', 'location': 'DSB 106'}]","['MW 0600pm-0930pm 07/18-08/17 DSB 106', 'R 0600pm-0930pm 08/11-08/11 DSB 106']",Scott M  Brenner,25,13,12
Summer2016,56300,AC 0391,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,0,5,-5
Summer2016,56221,AC 0510,01,3.000,Issues in a Regulatory Reporting Environment,"[{'days': 'W', 'times': '0600pm-0930pm', 'dates': '05/25-06/29', 'location': 'DSB 111'}, {'days': 'S', 'times': 'TBA', 'dates': '05/28-05/28', 'location': 'ONLINE '}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '06/04-06/04', 'location': 'DSB 2109A'}, {'days': 'S', 'times': '0100pm-0430pm', 'dates': '06/11-06/11', 'location': 'DSB 2109A'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '06/18-06/18', 'location': 'DSB 2109A'}, {'days': 'S', 'times': '0100pm-0430pm', 'dates': '06/25-06/25', 'location': 'DSB 2109A'}, {'days': 'S', 'times': 'TBA', 'dates': '07/02-07/02', 'location': 'ONLINE '}]","['W 0600pm-0930pm 05/25-06/29 DSB 111', 'S TBA 05/28-05/28 ONLINE ', 'S 0900am-1230pm 06/04-06/04 DSB 2109A', 'S 0100pm-0430pm 06/11-06/11 DSB 2109A', 'S 0900am-1230pm 06/18-06/18 DSB 2109A', 'S 0100pm-0430pm 06/25-06/25 DSB 2109A', 'S TBA 07/02-07/02 ONLINE ']",Stephen E.  Yost,12,14,-2
Summer2016,56222,AC 0510,02,3.000,Issues in a Regulatory Reporting Environment,"[{'days': 'W', 'times': '0600pm-0930pm', 'dates': '05/25-06/29', 'location': 'DSB 111'}, {'days': 'S', 'times': 'TBA', 'dates': '05/28-05/28', 'location': 'ONLINE '}, {'days': 'S', 'times': '0100pm-0430pm', 'dates': '06/04-06/04', 'location': 'DSB 2109A'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '06/11-06/11', 'location': 'DSB 2109A'}, {'days': 'S', 'times': '0100pm-0430pm', 'dates': '06/18-06/18', 'location': 'DSB 2109A'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '06/25-06/25', 'location': 'DSB 2109A'}, {'days': 'S', 'times': 'TBA', 'dates': '07/02-07/02', 'location': 'ONLINE '}]","['W 0600pm-0930pm 05/25-06/29 DSB 111', 'S TBA 05/28-05/28 ONLINE ', 'S 0100pm-0430pm 06/04-06/04 DSB 2109A', 'S 0900am-1230pm 06/11-06/11 DSB 2109A', 'S 0100pm-0430pm 06/18-06/18 DSB 2109A', 'S 0900am-1230pm 06/25-06/25 DSB 2109A', 'S TBA 07/02-07/02 ONLINE ']",Stephen E.  Yost,12,15,-3
Summer2016,56179,AC 0530,01,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'TF', 'times': '0900am-1215pm', 'dates': '05/24-06/28', 'location': 'DSB 111'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/15-06/15', 'location': 'DSB 110A'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/29-06/29', 'location': 'DSB 111'}]","['TF 0900am-1215pm 05/24-06/28 DSB 111', 'W 0900am-1215pm 06/15-06/15 DSB 110A', 'W 0900am-1215pm 06/29-06/29 DSB 111']",Milo W.  Peck,18,25,-7
Summer2016,56180,AC 0530,02,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'TF', 'times': '0145pm-0500pm', 'dates': '05/24-06/28', 'location': 'DSB 111'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/15-06/15', 'location': 'DSB 110A'}, {'days': 'W', 'times': '0145pm-0500pm', 'dates': '06/29-06/29', 'location': 'DSB 111'}]","['TF 0145pm-0500pm 05/24-06/28 DSB 111', 'W 0900am-1215pm 06/15-06/15 DSB 110A', 'W 0145pm-0500pm 06/29-06/29 DSB 111']",Milo W.  Peck,18,24,-6
Summer2016,56181,AC 0580,01,3.000,Financial Statement Analysis,"[{'days': 'MR', 'times': '0900am-1215pm', 'dates': '05/23-06/30', 'location': 'DSB 112'}, {'days': 'W', 'times': '0900am-1215pm', 'dates': '06/01-06/01', 'location': 'DSB 112'}, {'days': 'W', 'times': '0145pm-0500pm', 'dates': '06/15-06/15', 'location': 'DSB 110A'}]","['MR 0900am-1215pm 05/23-06/30 DSB 112', 'W 0900am-1215pm 06/01-06/01 DSB 112', 'W 0145pm-0500pm 06/15-06/15 DSB 110A']",Milo W.  Peck,18,24,-6
Summer2016,56182,AC 0580,02,3.000,Financial Statement Analysis,"[{'days': 'MR', 'times': '0145pm-0500pm', 'dates': '05/23-06/30', 'location': 'DSB 112'}, {'days': 'W', 'times': '0145pm-0500pm', 'dates': '06/01-06/01', 'location': 'DSB 112'}, {'days': 'W', 'times': '0145pm-0500pm', 'dates': '06/15-06/15', 'location': 'DSB 110A'}]","['MR 0145pm-0500pm 05/23-06/30 DSB 112', 'W 0145pm-0500pm 06/01-06/01 DSB 112', 'W 0145pm-0500pm 06/15-06/15 DSB 110A']",Milo W.  Peck,18,25,-7
Summer2016,56406,AS 0461,01,3.000,The American Civil War,"[{'days': 'TR', 'times': '0500pm-0830pm', 'dates': '07/05-07/26', 'location': 'DMH 331'}, {'days': 'F', 'times': '0100pm-0300pm', 'dates': '07/22-07/22', 'location': 'DMH 331'}]","['TR 0500pm-0830pm 07/05-07/26 DMH 331', 'F 0100pm-0300pm 07/22-07/22 DMH 331']",Elizabeth   Hohl,15,9,6
Summer2016,56407,ASAH 0441,01,3.000,Fine Art vs. Anti-Art: 1917-1967,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '06/27-07/01', 'location': 'CNS 6'}]",['MTWRF 0830am-0430pm 06/27-07/01 CNS 6'],Philip I.  Eliasoph,15,3,12
Summer2016,56290,AY 0111,OL1,3.000,Cultural Anthropology,[],[],Sarah A.  Wessler,20,21,-1
Summer2016,56130,AE 0291,OL1,3.000,Business Ethics,[],[],Lisa M.  Sticca-Conrod,20,13,7
Summer2016,56405,AE 0293,01,3.000,Ethics of War and Peace,"[{'days': 'MTR', 'times': '0645pm-0955pm', 'dates': '07/11-08/04', 'location': 'CNS 9'}]",['MTR 0645pm-0955pm 07/11-08/04 CNS 9'],Norma   Schmidt,25,14,11
Summer2016,56132,AE 0295,OL1,3.000,Ethics in Law and Society,[],[],Lisa M.  Sticca-Conrod,20,12,8
Summer2016,56536,AE 0399,TP,3.000,Special Topics / Ind Study,[],[],Thomas C.  Pellegrino,0,1,-1
Summer2016,56001,AH 0011,OL1,3.000,Visual Culture Since 1400: Expression and Experimentation,[],[],Lauren Elise  Cesiro,20,17,3
Summer2016,56133,AH 0013,01,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTR', 'times': '0645pm-0955pm', 'dates': '06/06-06/30', 'location': 'CNS 6'}]",['MTR 0645pm-0955pm 06/06-06/30 CNS 6'],Dawn M.  Pilotti,25,11,14
Summer2016,56325,AH 0013,AI1,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTWRF', 'times': '0900am-1100am', 'dates': '07/12-08/05', 'location': 'CNS 5'}]",['MTWRF 0900am-1100am 07/12-08/05 CNS 5'],Dawn M.  Pilotti,0,9,-9
Summer2016,56454,AH 0013,AI2,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTWRF', 'times': '0100pm-0300pm', 'dates': '07/12-08/05', 'location': 'CNS 5'}]",['MTWRF 0100pm-0300pm 07/12-08/05 CNS 5'],Dawn M.  Pilotti,0,8,-8
Summer2016,56134,AH 0164,01,3.000,American Art and Media Culture: Homer to Hunger Games,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '06/13-06/17', 'location': 'CNS 6'}]",['MTWRF 0830am-0430pm 06/13-06/17 CNS 6'],Philip I.  Eliasoph,15,7,8
Summer2016,56319,BI 0070,OL1,3.000,"Science, Technology, and Society",[],[],Debra S.  Sauer,20,17,3
Summer2016,56003,BI 0071,01,3.000,Identity and the Human Genome,"[{'days': 'MTWRF', 'times': '0930am-1230pm', 'dates': '07/11-07/22', 'location': 'BNW 341'}]",['MTWRF 0930am-1230pm 07/11-07/22 BNW 341'],Olivia T.  Harriott,0,12,-12
Summer2016,56144,BI 0075,OL1,3.000,Ecology and Society,[],[],Thomas B.  Cunningham,23,25,-2
