crn,catalog_id,section,credits,title,meetings,primary_instructor
11805,AH 0172,OL1,3.000,History of Photography,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/21-01/25', 'location': 'ONLINE '}]",Lauren Elise  Cesiro
11826,BI 0070,OL1,3.000,"Science, Technology, and Society","[{'days': '\xa0', 'times': 'TBA', 'dates': '12/21-01/25', 'location': 'ONLINE '}]",Debra S.  Sauer
11827,BI 0071,OL1,3.000,Identity and the Human Genome,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/21-01/25', 'location': 'ONLINE '}]",Christine R.  Rodriguez
11806,BI 0075,OL1,3.000,Ecology and Society,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/21-01/25', 'location': 'ONLINE '}]",Thomas B.  Cunningham
11801,BU 0211,01,3.000,Legal Environment of Business,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DSB 109'}]",Sharlene A.  McEvoy
11807,CO 0100,OL1,3.000,Human Communication Theories,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/21-01/25', 'location': 'ONLINE '}]",Qin   Zhang
11808,CO 0240,OL1,3.000,Intercultural Communication,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/21-01/25', 'location': 'ONLINE '}]",Qin   Zhang
11809,CO 0246,01,3.000,Family Communication,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DMH 350'}]",Margaret A.  Wills
11829,EN 0141,OL1,3.000,Imagining Shakespeare,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/21-01/25', 'location': 'ONLINE '}]",Shannon E.  Kelley
11812,EN 0163,OL1,3.000,The Literature of Illness and Healing: Wounded Storytellers and Dedicated Healers,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/21-01/25', 'location': 'ONLINE '}]",Jacqueline   Rinaldi
11823,ENW 0444,01,6.000,Fiction: Part I,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/27-01/05', 'location': 'ENDRIS '}]",Sonya R.  Huber
11840,ENW 0445,01,6.000,Nonfiction: Part I,"[{'days': '\xa0', 'times': 'TBA', 'dates': '12/27-01/05', 'location': 'ENDRIS '}]",Sonya R.  Huber
