crn,location,day,start,end
70384,DSB 105,T,2014-09-02T08:00:00,2014-09-02T09:15:00
70384,DSB 105,F,2014-09-05T08:00:00,2014-09-05T09:15:00
70384,DSB 105,T,2014-09-09T08:00:00,2014-09-09T09:15:00
70384,DSB 105,F,2014-09-12T08:00:00,2014-09-12T09:15:00
70384,DSB 105,T,2014-09-16T08:00:00,2014-09-16T09:15:00
70384,DSB 105,F,2014-09-19T08:00:00,2014-09-19T09:15:00
70384,DSB 105,T,2014-09-23T08:00:00,2014-09-23T09:15:00
70384,DSB 105,F,2014-09-26T08:00:00,2014-09-26T09:15:00
70384,DSB 105,T,2014-09-30T08:00:00,2014-09-30T09:15:00
70384,DSB 105,F,2014-10-03T08:00:00,2014-10-03T09:15:00
70384,DSB 105,T,2014-10-07T08:00:00,2014-10-07T09:15:00
70384,DSB 105,F,2014-10-10T08:00:00,2014-10-10T09:15:00
70384,DSB 105,F,2014-10-17T08:00:00,2014-10-17T09:15:00
70384,DSB 105,T,2014-10-21T08:00:00,2014-10-21T09:15:00
70384,DSB 105,F,2014-10-24T08:00:00,2014-10-24T09:15:00
70384,DSB 105,T,2014-10-28T08:00:00,2014-10-28T09:15:00
70384,DSB 105,F,2014-10-31T08:00:00,2014-10-31T09:15:00
70384,DSB 105,T,2014-11-04T08:00:00,2014-11-04T09:15:00
70384,DSB 105,F,2014-11-07T08:00:00,2014-11-07T09:15:00
70384,DSB 105,T,2014-11-11T08:00:00,2014-11-11T09:15:00
70384,DSB 105,F,2014-11-14T08:00:00,2014-11-14T09:15:00
70384,DSB 105,T,2014-11-18T08:00:00,2014-11-18T09:15:00
70384,DSB 105,F,2014-11-21T08:00:00,2014-11-21T09:15:00
70384,DSB 105,T,2014-11-25T08:00:00,2014-11-25T09:15:00
70384,DSB 105,T,2014-12-02T08:00:00,2014-12-02T09:15:00
70384,DSB 105,F,2014-12-05T08:00:00,2014-12-05T09:15:00
70385,DSB 105,T,2014-09-02T09:30:00,2014-09-02T10:45:00
70385,DSB 105,F,2014-09-05T09:30:00,2014-09-05T10:45:00
70385,DSB 105,T,2014-09-09T09:30:00,2014-09-09T10:45:00
70385,DSB 105,F,2014-09-12T09:30:00,2014-09-12T10:45:00
70385,DSB 105,T,2014-09-16T09:30:00,2014-09-16T10:45:00
70385,DSB 105,F,2014-09-19T09:30:00,2014-09-19T10:45:00
70385,DSB 105,T,2014-09-23T09:30:00,2014-09-23T10:45:00
