term,crn,location,day,start,end
Fall2016,77200,DSB 110A,R,2016-09-08T11:00:00,2016-09-08T12:15:00
Fall2016,77200,DSB 110A,M,2016-09-12T11:00:00,2016-09-12T12:15:00
Fall2016,77200,DSB 110A,R,2016-09-15T11:00:00,2016-09-15T12:15:00
Fall2016,77200,DSB 110A,M,2016-09-19T11:00:00,2016-09-19T12:15:00
Fall2016,77200,DSB 110A,R,2016-09-22T11:00:00,2016-09-22T12:15:00
Fall2016,77200,DSB 110A,M,2016-09-26T11:00:00,2016-09-26T12:15:00
Fall2016,77200,DSB 110A,R,2016-09-29T11:00:00,2016-09-29T12:15:00
Fall2016,77200,DSB 110A,M,2016-10-03T11:00:00,2016-10-03T12:15:00
Fall2016,77200,DSB 110A,R,2016-10-06T11:00:00,2016-10-06T12:15:00
Fall2016,77200,DSB 110A,R,2016-10-13T11:00:00,2016-10-13T12:15:00
Fall2016,77200,DSB 110A,M,2016-10-17T11:00:00,2016-10-17T12:15:00
Fall2016,77200,DSB 110A,R,2016-10-20T11:00:00,2016-10-20T12:15:00
Fall2016,77200,DSB 110A,M,2016-10-24T11:00:00,2016-10-24T12:15:00
Fall2016,77200,DSB 110A,R,2016-10-27T11:00:00,2016-10-27T12:15:00
Fall2016,77200,DSB 110A,M,2016-10-31T11:00:00,2016-10-31T12:15:00
Fall2016,77200,DSB 110A,R,2016-11-03T11:00:00,2016-11-03T12:15:00
Fall2016,77200,DSB 110A,M,2016-11-07T11:00:00,2016-11-07T12:15:00
Fall2016,77200,DSB 110A,R,2016-11-10T11:00:00,2016-11-10T12:15:00
Fall2016,77200,DSB 110A,M,2016-11-14T11:00:00,2016-11-14T12:15:00
Fall2016,77200,DSB 110A,R,2016-11-17T11:00:00,2016-11-17T12:15:00
Fall2016,77200,DSB 110A,M,2016-11-21T11:00:00,2016-11-21T12:15:00
Fall2016,77200,DSB 110A,M,2016-11-28T11:00:00,2016-11-28T12:15:00
Fall2016,77200,DSB 110A,R,2016-12-01T11:00:00,2016-12-01T12:15:00
Fall2016,77200,DSB 110A,M,2016-12-05T11:00:00,2016-12-05T12:15:00
Fall2016,77200,DSB 110A,R,2016-12-08T11:00:00,2016-12-08T12:15:00
Fall2016,77200,DSB 110A,M,2016-12-12T11:00:00,2016-12-12T12:15:00
Fall2016,77217,DSB 110A,R,2016-09-08T12:30:00,2016-09-08T13:45:00
Fall2016,77217,DSB 110A,M,2016-09-12T12:30:00,2016-09-12T13:45:00
Fall2016,77217,DSB 110A,R,2016-09-15T12:30:00,2016-09-15T13:45:00
Fall2016,77217,DSB 110A,M,2016-09-19T12:30:00,2016-09-19T13:45:00
Fall2016,77217,DSB 110A,R,2016-09-22T12:30:00,2016-09-22T13:45:00
Fall2016,77217,DSB 110A,M,2016-09-26T12:30:00,2016-09-26T13:45:00
Fall2016,77217,DSB 110A,R,2016-09-29T12:30:00,2016-09-29T13:45:00
Fall2016,77217,DSB 110A,M,2016-10-03T12:30:00,2016-10-03T13:45:00
Fall2016,77217,DSB 110A,R,2016-10-06T12:30:00,2016-10-06T13:45:00
Fall2016,77217,DSB 110A,R,2016-10-13T12:30:00,2016-10-13T13:45:00
Fall2016,77217,DSB 110A,M,2016-10-17T12:30:00,2016-10-17T13:45:00
Fall2016,77217,DSB 110A,R,2016-10-20T12:30:00,2016-10-20T13:45:00
Fall2016,77217,DSB 110A,M,2016-10-24T12:30:00,2016-10-24T13:45:00
Fall2016,77217,DSB 110A,R,2016-10-27T12:30:00,2016-10-27T13:45:00
Fall2016,77217,DSB 110A,M,2016-10-31T12:30:00,2016-10-31T13:45:00
Fall2016,77217,DSB 110A,R,2016-11-03T12:30:00,2016-11-03T13:45:00
Fall2016,77217,DSB 110A,M,2016-11-07T12:30:00,2016-11-07T13:45:00
Fall2016,77217,DSB 110A,R,2016-11-10T12:30:00,2016-11-10T13:45:00
Fall2016,77217,DSB 110A,M,2016-11-14T12:30:00,2016-11-14T13:45:00
Fall2016,77217,DSB 110A,R,2016-11-17T12:30:00,2016-11-17T13:45:00
Fall2016,77217,DSB 110A,M,2016-11-21T12:30:00,2016-11-21T13:45:00
Fall2016,77217,DSB 110A,M,2016-11-28T12:30:00,2016-11-28T13:45:00
Fall2016,77217,DSB 110A,R,2016-12-01T12:30:00,2016-12-01T13:45:00
Fall2016,77217,DSB 110A,M,2016-12-05T12:30:00,2016-12-05T13:45:00
Fall2016,77217,DSB 110A,R,2016-12-08T12:30:00,2016-12-08T13:45:00
Fall2016,77217,DSB 110A,M,2016-12-12T12:30:00,2016-12-12T13:45:00
Fall2016,77218,DSB 108,R,2016-09-08T08:00:00,2016-09-08T09:15:00
Fall2016,77218,DSB 108,M,2016-09-12T08:00:00,2016-09-12T09:15:00
Fall2016,77218,DSB 108,R,2016-09-15T08:00:00,2016-09-15T09:15:00
Fall2016,77218,DSB 108,M,2016-09-19T08:00:00,2016-09-19T09:15:00
Fall2016,77218,DSB 108,R,2016-09-22T08:00:00,2016-09-22T09:15:00
Fall2016,77218,DSB 108,M,2016-09-26T08:00:00,2016-09-26T09:15:00
Fall2016,77218,DSB 108,R,2016-09-29T08:00:00,2016-09-29T09:15:00
Fall2016,77218,DSB 108,M,2016-10-03T08:00:00,2016-10-03T09:15:00
Fall2016,77218,DSB 108,R,2016-10-06T08:00:00,2016-10-06T09:15:00
Fall2016,77218,DSB 108,R,2016-10-13T08:00:00,2016-10-13T09:15:00
Fall2016,77218,DSB 108,M,2016-10-17T08:00:00,2016-10-17T09:15:00
Fall2016,77218,DSB 108,R,2016-10-20T08:00:00,2016-10-20T09:15:00
Fall2016,77218,DSB 108,M,2016-10-24T08:00:00,2016-10-24T09:15:00
Fall2016,77218,DSB 108,R,2016-10-27T08:00:00,2016-10-27T09:15:00
Fall2016,77218,DSB 108,M,2016-10-31T08:00:00,2016-10-31T09:15:00
Fall2016,77218,DSB 108,R,2016-11-03T08:00:00,2016-11-03T09:15:00
Fall2016,77218,DSB 108,M,2016-11-07T08:00:00,2016-11-07T09:15:00
