crn,location,day,start,end
74177,DSB 112,R,2018-09-06T15:30:00,2018-09-06T16:45:00
74177,DSB 112,M,2018-09-10T15:30:00,2018-09-10T16:45:00
74177,DSB 112,R,2018-09-13T15:30:00,2018-09-13T16:45:00
74177,DSB 112,M,2018-09-17T15:30:00,2018-09-17T16:45:00
74177,DSB 112,R,2018-09-20T15:30:00,2018-09-20T16:45:00
74177,DSB 112,M,2018-09-24T15:30:00,2018-09-24T16:45:00
74177,DSB 112,R,2018-09-27T15:30:00,2018-09-27T16:45:00
74177,DSB 112,M,2018-10-01T15:30:00,2018-10-01T16:45:00
74177,DSB 112,R,2018-10-04T15:30:00,2018-10-04T16:45:00
74177,DSB 112,M,2018-10-08T15:30:00,2018-10-08T16:45:00
74177,DSB 112,R,2018-10-11T15:30:00,2018-10-11T16:45:00
74177,DSB 112,M,2018-10-15T15:30:00,2018-10-15T16:45:00
74177,DSB 112,R,2018-10-18T15:30:00,2018-10-18T16:45:00
74177,DSB 112,M,2018-10-22T15:30:00,2018-10-22T16:45:00
74177,DSB 112,R,2018-10-25T15:30:00,2018-10-25T16:45:00
74177,DSB 112,M,2018-10-29T15:30:00,2018-10-29T16:45:00
74177,DSB 112,R,2018-11-01T15:30:00,2018-11-01T16:45:00
74177,DSB 112,M,2018-11-05T15:30:00,2018-11-05T16:45:00
74177,DSB 112,R,2018-11-08T15:30:00,2018-11-08T16:45:00
74177,DSB 112,M,2018-11-12T15:30:00,2018-11-12T16:45:00
74177,DSB 112,R,2018-11-15T15:30:00,2018-11-15T16:45:00
74177,DSB 112,M,2018-11-19T15:30:00,2018-11-19T16:45:00
74177,DSB 112,R,2018-11-22T15:30:00,2018-11-22T16:45:00
74177,DSB 112,M,2018-11-26T15:30:00,2018-11-26T16:45:00
74177,DSB 112,R,2018-11-29T15:30:00,2018-11-29T16:45:00
74177,DSB 112,M,2018-12-03T15:30:00,2018-12-03T16:45:00
74177,DSB 112,R,2018-12-06T15:30:00,2018-12-06T16:45:00
74177,DSB 112,M,2018-12-10T15:30:00,2018-12-10T16:45:00
74194,DSB 105,T,2018-09-04T14:00:00,2018-09-04T15:15:00
74194,DSB 105,F,2018-09-07T14:00:00,2018-09-07T15:15:00
74194,DSB 105,T,2018-09-11T14:00:00,2018-09-11T15:15:00
74194,DSB 105,F,2018-09-14T14:00:00,2018-09-14T15:15:00
74194,DSB 105,T,2018-09-18T14:00:00,2018-09-18T15:15:00
74194,DSB 105,F,2018-09-21T14:00:00,2018-09-21T15:15:00
74194,DSB 105,T,2018-09-25T14:00:00,2018-09-25T15:15:00
74194,DSB 105,F,2018-09-28T14:00:00,2018-09-28T15:15:00
74194,DSB 105,T,2018-10-02T14:00:00,2018-10-02T15:15:00
74194,DSB 105,F,2018-10-05T14:00:00,2018-10-05T15:15:00
74194,DSB 105,T,2018-10-09T14:00:00,2018-10-09T15:15:00
74194,DSB 105,F,2018-10-12T14:00:00,2018-10-12T15:15:00
74194,DSB 105,T,2018-10-16T14:00:00,2018-10-16T15:15:00
