term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,37502,AC 0011,A,3.000,Intro to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 109'}]",['TF 1100am-1215pm 01/19-05/03 DSB 109'],Dawn W  Massey,24,23,1
Spring2016,38344,AC 0011,B,3.000,Intro to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'DSB 109'}]",['TF 1230pm-0145pm 01/19-05/03 DSB 109'],Dawn W  Massey,24,25,-1
Spring2016,37107,AC 0012,A,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'DSB 115'}]",['MR 0930am-1045am 01/19-05/03 DSB 115'],Bruce   Bradford,31,25,6
Spring2016,37200,AC 0012,B,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 115'}]",['MR 1100am-1215pm 01/19-05/03 DSB 115'],Bruce   Bradford,31,30,1
Spring2016,37218,AC 0012,C,3.000,Introduction to Management Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/19-05/03', 'location': 'DSB 112'}]",['MW 0500pm-0615pm 01/19-05/03 DSB 112'],Bruce   Bradford,31,12,19
Spring2016,37219,AC 0012,D,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/19-05/03', 'location': 'DSB 104'}]",['TF 0800am-0915am 01/19-05/03 DSB 104'],Michael P.  Coyne,31,30,1
Spring2016,37220,AC 0012,E,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'DSB 104'}]",['TF 0930am-1045am 01/19-05/03 DSB 104'],Michael P.  Coyne,31,32,-1
Spring2016,37221,AC 0012,F,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",['TF 0200pm-0315pm 01/19-05/03 DSB 108'],Michael P.  Coyne,31,29,2
Spring2016,37328,AC 0012,G,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",['TF 0330pm-0445pm 01/19-05/03 DSB 108'],Michael P.  Coyne,31,29,2
Spring2016,37503,AC 0012,H,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'DSB 110B'}]",['MR 0200pm-0315pm 01/19-05/03 DSB 110B'],Jo Ann   Drusbosky,31,31,0
Spring2016,37504,AC 0012,I,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/19-05/03', 'location': 'DSB 110B'}]",['MR 0330pm-0445pm 01/19-05/03 DSB 110B'],Jo Ann   Drusbosky,31,29,2
Spring2016,37815,AC 0012,J,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0500pm-0615pm', 'dates': '01/19-05/03', 'location': 'DSB 110B'}]",['MR 0500pm-0615pm 01/19-05/03 DSB 110B'],Jo Ann   Drusbosky,31,29,2
Spring2016,37923,AC 0012,K,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 104'}]",['TF 1100am-1215pm 01/19-05/03 DSB 104'],Arleen N.  Kardos,31,31,0
Spring2016,37924,AC 0012,L,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'DSB 104'}]",['TF 1230pm-0145pm 01/19-05/03 DSB 104'],Arleen N.  Kardos,31,29,2
Spring2016,37925,AC 0012,M,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",['MR 1100am-1215pm 01/19-05/03 DSB 108'],Joan L.  Lee,31,30,1
Spring2016,38229,AC 0012,N,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",['MR 1230pm-0145pm 01/19-05/03 DSB 108'],Joan L.  Lee,31,24,7
Spring2016,37169,AC 0203,A,3.000,Intermediate Accounting I,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'DSB 112'}]",['R 0630pm-0900pm 01/19-05/03 DSB 112'],Stephen E.  Yost,20,19,1
Spring2016,37042,AC 0204,A,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'DSB 105'}, {'days': 'S', 'times': '0900am-0500pm', 'dates': '03/19-03/19', 'location': 'DSB 110'}]","['TF 0930am-1045am 01/19-05/03 DSB 105', 'S 0900am-0500pm 03/19-03/19 DSB 110']",Milo W.  Peck,28,31,-3
Spring2016,37085,AC 0204,B,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'DSB 105'}, {'days': 'S', 'times': '0900am-0500pm', 'dates': '03/19-03/19', 'location': 'DSB 110'}]","['TF 1100am-1215pm 01/19-05/03 DSB 105', 'S 0900am-0500pm 03/19-03/19 DSB 110']",Milo W.  Peck,28,29,-1
Spring2016,37329,AC 0204,C,3.000,Intermediate Accounting II,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'DSB 110A'}, {'days': 'S', 'times': '0900am-0500pm', 'dates': '03/19-03/19', 'location': 'DSB 110'}]","['TF 0200pm-0315pm 01/19-05/03 DSB 110A', 'S 0900am-0500pm 03/19-03/19 DSB 110']",Milo W.  Peck,28,33,-5
Spring2016,38846,AC 0204,D,3.000,Intermediate Accounting II,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'DSB 112'}, {'days': 'S', 'times': '0900am-0500pm', 'dates': '03/19-03/19', 'location': 'DSB 110'}]","['T 0630pm-0900pm 01/19-05/03 DSB 112', 'S 0900am-0500pm 03/19-03/19 DSB 110']",Stephen E.  Yost,28,16,12
Spring2016,37505,AC 0265,A,3.000,Accounting Information Systems,"[{'days': 'F', 'times': '0800am-1030am', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",['F 0800am-1030am 01/19-05/03 DSB 108'],Scott M  Brenner,20,19,1
Spring2016,37180,AC 0310,A,3.000,Advanced Accounting,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'DSB 115'}]",['T 0630pm-0900pm 01/19-05/03 DSB 115'],Lisa Suzanne  Haylon,20,22,-2
Spring2016,37276,AC 0310,B,3.000,Advanced Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'DSB 115'}]",['TF 1230pm-0145pm 01/19-05/03 DSB 115'],Lisa Suzanne  Haylon,24,25,-1
Spring2016,37927,AC 0310,C,3.000,Advanced Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'DSB 115'}]",['TF 0200pm-0315pm 01/19-05/03 DSB 115'],Lisa Suzanne  Haylon,24,21,3
Spring2016,37397,AC 0320,A,3.000,Cost Management,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'DSB 111'}]",['MR 0930am-1045am 01/19-05/03 DSB 111'],Ahmed M.  Ebrahim,28,30,-2
Spring2016,37928,AC 0320,B,3.000,Cost Management,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'DSB 112'}]",['MR 1230pm-0145pm 01/19-05/03 DSB 112'],Ahmed M.  Ebrahim,28,29,-1
Spring2016,37269,AC 0330,A,3.000,Auditing,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'DSB 108'}]",['R 0630pm-0900pm 01/19-05/03 DSB 108'],John L.  DeMelis,15,17,-2
