term,crn,location,day,start,end
Summer2015,55230,DSB 106,M,2015-05-18T18:00:00,2015-05-18T21:30:00
Summer2015,55230,DSB 106,W,2015-05-20T18:00:00,2015-05-20T21:30:00
Summer2015,55230,DSB 106,W,2015-05-27T18:00:00,2015-05-27T21:30:00
Summer2015,55230,DSB 106,M,2015-06-01T18:00:00,2015-06-01T21:30:00
Summer2015,55230,DSB 106,W,2015-06-03T18:00:00,2015-06-03T21:30:00
Summer2015,55230,DSB 106,M,2015-06-08T18:00:00,2015-06-08T21:30:00
Summer2015,55230,DSB 106,W,2015-06-10T18:00:00,2015-06-10T21:30:00
Summer2015,55230,DSB 106,M,2015-06-15T18:00:00,2015-06-15T21:30:00
Summer2015,55230,DSB 106,W,2015-06-17T18:00:00,2015-06-17T21:30:00
Summer2015,55230,DSB 106,M,2015-06-22T18:00:00,2015-06-22T21:30:00
Summer2015,55230,DSB 106,W,2015-06-24T18:00:00,2015-06-24T21:30:00
Summer2015,55230,DSB 106,M,2015-05-18T18:00:00,2015-05-18T21:30:00
Summer2015,55230,DSB 106,W,2015-05-20T18:00:00,2015-05-20T21:30:00
Summer2015,55230,DSB 106,W,2015-05-27T18:00:00,2015-05-27T21:30:00
Summer2015,55230,DSB 106,M,2015-06-01T18:00:00,2015-06-01T21:30:00
Summer2015,55230,DSB 106,W,2015-06-03T18:00:00,2015-06-03T21:30:00
Summer2015,55230,DSB 106,M,2015-06-08T18:00:00,2015-06-08T21:30:00
Summer2015,55230,DSB 106,W,2015-06-10T18:00:00,2015-06-10T21:30:00
Summer2015,55230,DSB 106,M,2015-06-15T18:00:00,2015-06-15T21:30:00
Summer2015,55230,DSB 106,W,2015-06-17T18:00:00,2015-06-17T21:30:00
Summer2015,55230,DSB 106,M,2015-06-22T18:00:00,2015-06-22T21:30:00
Summer2015,55230,DSB 106,W,2015-06-24T18:00:00,2015-06-24T21:30:00
Summer2015,55230,DSB 106,T,2015-05-26T18:00:00,2015-05-26T21:30:00
Summer2015,55230,DSB 106,R,2015-05-28T18:00:00,2015-05-28T21:30:00
Summer2015,55231,DSB 108,W,2015-07-15T18:00:00,2015-07-15T21:30:00
Summer2015,55231,DSB 108,M,2015-07-20T18:00:00,2015-07-20T21:30:00
