term,crn,location,day,start,end
Winter2016,11618,DSB 104,T,2016-01-05T10:00:00,2016-01-05T18:00:00
Winter2016,11618,DSB 104,F,2016-01-08T10:00:00,2016-01-08T18:00:00
Winter2016,11618,DSB 104,M,2016-01-11T10:00:00,2016-01-11T18:00:00
Winter2016,11618,DSB 104,R,2016-01-14T10:00:00,2016-01-14T18:00:00
Winter2016,11614,DSB 109,W,2016-01-06T08:30:00,2016-01-06T16:30:00
Winter2016,11614,DSB 109,R,2016-01-07T08:30:00,2016-01-07T16:30:00
Winter2016,11614,DSB 109,F,2016-01-08T08:30:00,2016-01-08T16:30:00
Winter2016,11614,DSB 109,M,2016-01-11T08:30:00,2016-01-11T16:30:00
Winter2016,11614,DSB 109,T,2016-01-12T08:30:00,2016-01-12T16:30:00
Winter2016,11622,DMH 350,W,2016-01-06T08:30:00,2016-01-06T16:30:00
Winter2016,11622,DMH 350,R,2016-01-07T08:30:00,2016-01-07T16:30:00
Winter2016,11622,DMH 350,F,2016-01-08T08:30:00,2016-01-08T16:30:00
Winter2016,11622,DMH 350,M,2016-01-11T08:30:00,2016-01-11T16:30:00
Winter2016,11622,DMH 350,T,2016-01-12T08:30:00,2016-01-12T16:30:00
Winter2016,11601,DSB 107,M,2016-01-04T18:00:00,2016-01-04T21:30:00
Winter2016,11601,DSB 107,T,2016-01-05T18:00:00,2016-01-05T21:30:00
Winter2016,11601,DSB 107,W,2016-01-06T18:00:00,2016-01-06T21:30:00
Winter2016,11601,DSB 107,R,2016-01-07T18:00:00,2016-01-07T21:30:00
Winter2016,11601,DSB 107,M,2016-01-11T18:00:00,2016-01-11T21:30:00
Winter2016,11601,DSB 107,T,2016-01-12T18:00:00,2016-01-12T21:30:00
Winter2016,11601,DSB 107,W,2016-01-13T18:00:00,2016-01-13T21:30:00
Winter2016,11601,DSB 107,R,2016-01-14T18:00:00,2016-01-14T21:30:00
Winter2016,11601,DSB 107,S,2016-01-09T08:30:00,2016-01-09T16:30:00
Winter2016,11601,DSB 107,S,2016-01-16T08:30:00,2016-01-16T16:30:00
Winter2016,11615,DSB 112,M,2016-01-04T18:00:00,2016-01-04T21:30:00
Winter2016,11615,DSB 112,T,2016-01-05T18:00:00,2016-01-05T21:30:00
