term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Winter2018,11805,AH 0172,OL1,3.000,History of Photography,[],[],Lauren Elise  Cesiro,20,21,-1
Winter2018,11826,BI 0070,OL1,3.000,"Science, Technology, and Society",[],[],Debra S.  Sauer,20,10,10
Winter2018,11827,BI 0071,OL1,3.000,Identity and the Human Genome,[],[],Christine R.  Rodriguez,20,13,7
Winter2018,11806,BI 0075,OL1,3.000,Ecology and Society,[],[],Thomas B.  Cunningham,24,22,2
Winter2018,11801,BU 0211,01,3.000,Legal Environment of Business,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DSB 109'}]",['MTWRF 0830am-0430pm 01/04-01/10 DSB 109'],Sharlene A.  McEvoy,25,15,10
Winter2018,11807,CO 0100,OL1,3.000,Human Communication Theories,[],[],Qin   Zhang,20,12,8
Winter2018,11808,CO 0240,OL1,3.000,Intercultural Communication,[],[],Qin   Zhang,20,12,8
Winter2018,11809,CO 0246,01,3.000,Family Communication,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DMH 350'}]",['MTWRF 0830am-0430pm 01/04-01/10 DMH 350'],Margaret A.  Wills,15,8,7
Winter2018,11829,EN 0141,OL1,3.000,Imagining Shakespeare,[],[],Shannon E.  Kelley,20,20,0
Winter2018,11812,EN 0163,OL1,3.000,The Literature of Illness and Healing: Wounded Storytellers and Dedicated Healers,[],[],Jacqueline   Rinaldi,20,16,4
Winter2018,11823,ENW 0444,01,6.000,Fiction: Part I,[],[],Sonya R.  Huber,0,1,-1
Winter2018,11840,ENW 0445,01,6.000,Nonfiction: Part I,[],[],Sonya R.  Huber,0,1,-1
Winter2018,11837,FI 0101,OL1,3.000,Introduction to Finance,[],[],Nazli S.  Alan,20,9,11
Winter2018,11803,FI 0500,01,3.000,Shareholder Value,"[{'days': 'MTWRF', 'times': '0600pm-1000pm', 'dates': '01/05-01/13', 'location': 'DSB 114'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/05-01/13', 'location': 'DSB 114'}]","['MTWRF 0600pm-1000pm 01/05-01/13 DSB 114', 'S 0830am-0430pm 01/05-01/13 DSB 114']",Thomas E.  Conine,16,7,9
Winter2018,11841,FI 0585,TC,3.000,Contemporary Topics,[],[],Thomas E.  Conine,0,1,-1
Winter2018,11834,IS 0500,01,3.000,Information Systems and Database Management,"[{'days': 'MTWRF', 'times': '0630pm-0930pm', 'dates': '01/02-01/13', 'location': 'DSB 106'}, {'days': 'S', 'times': '0900am-0530pm', 'dates': '01/02-01/13', 'location': 'DSB 106'}]","['MTWRF 0630pm-0930pm 01/02-01/13 DSB 106', 'S 0900am-0530pm 01/02-01/13 DSB 106']",Yasin   Ozcelik,25,10,15
Winter2018,11802,MG 0500,01,3.000,Leadership,"[{'days': 'MTWR', 'times': '0600pm-0930pm', 'dates': '01/02-01/13', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0530pm', 'dates': '01/02-01/13', 'location': 'DSB 115'}]","['MTWR 0600pm-0930pm 01/02-01/13 DSB 115', 'S 0830am-0530pm 01/02-01/13 DSB 115']",Lisa A.  Mainiero,14,16,-2
Winter2018,11835,MK 0101,OL1,3.000,Principles of Marketing,[],[],Camelia   Micu,20,9,11
Winter2018,11833,MK 0535,01,3.000,Building Brand Equity,"[{'days': 'MTWRF', 'times': '0600pm-0930pm', 'dates': '01/02-01/11', 'location': 'DSB 109'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/02-01/13', 'location': 'DSB 109'}]","['MTWRF 0600pm-0930pm 01/02-01/11 DSB 109', 'S 0830am-0430pm 01/02-01/13 DSB 109']",Mark S.  Ligas,20,9,11
Winter2018,11830,MU 0102,01,3.000,History and Development of Rock,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'JGS 25'}]",['MTWRF 0830am-0430pm 01/04-01/10 JGS 25'],Brian Q.  Torff,15,12,3
Winter2018,11824,NS 0687,01,1.000-6.000,DNP Immersion,[],[],Joyce Muriel  Shea,30,3,27
Winter2018,11815,PS 0078,OL1,3.000,The Nature of the Universe,[],[],Joachim   Kuhn,20,20,0
Winter2018,11814,PO 0133,OL1,3.000,United States Foreign Policy,[],[],Lucrecia   Garcia Iommi,20,11,9
Winter2018,11839,PY 0131,OL1,3.000,Abnormal Psychology for Non-Majors,[],[],Margaret M.  McClure,20,20,0
Winter2018,11817,RS 0101D,OL1,3.000,Exploring Religion: Religion in a Comparative Key,[],[],Erik J.  Ranstrom,20,16,4
Winter2018,11831,RS 0252,OL1,3.000,Contemporary Moral Problems,[],[],Christian   Cintron,21,20,1
Winter2018,11819,SO 0279,01,3.000,Criminal Justice System Seminar,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'DMH 331'}]",['MTWRF 0830am-0430pm 01/04-01/10 DMH 331'],Rose P.  Rodrigues,15,10,5
Winter2018,11832,SA 0012,01,3.000,Introduction to Drawing,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '01/04-01/10', 'location': 'LYL 22'}]",['MTWRF 0830am-0430pm 01/04-01/10 LYL 22'],Kathryn J.  Yarrington,15,15,0
